Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
Aksuskaya HPS ,Hydro,Run-Of-River,PP,KZ,1.9,,,0,0,0,2008,,,2158,45.010479,78.383253,,,
Issykskaya HPP-2,Hydro,Reservoir,PP,KZ,5.1,,,0,0,0,2008,,,2158,43.2408,76.8507,,,
"Issykskaya HPP-3,4",Hydro,Run-Of-River,PP,KZ,1,,,0,0,0,2008,,,2158,43.2408,76.8507,,,
Kapchagayskaya HPP,Hydro,Reservoir,PP,KZ,364,,,0,0,0,1970,,,2120,43.92276,77.0981,,,
Karatalskaya HPS-1,Hydro,Reservoir,PP,KZ,10.1,,,0,0,0,1953,,,2103,45.010479,78.383253,,,
Karatalskaya HPS-2 ,Hydro,Run-Of-River,PP,KZ,4.4,,,0,0,0,1953,,,2103,45.010479,78.383253,,,
Karatalskaya HPS-3 ,Hydro,Run-Of-River,PP,KZ,4.4,,,0,0,0,1953,,,2103,45.010479,78.383253,,,
Karatalskaya HPS-4 ,Hydro,Run-Of-River,PP,KZ,3.1,,,0,0,0,1953,,,2103,45.010479,78.383253,,,
Moynakskaya HPP,Hydro,Reservoir,PP,KZ,300,,,0,0,0,2012,,,2162,43.027,78.8451,,,
Taldykorganskaya HPS ,Hydro,Reservoir,PP,KZ,5.2,,,0,0,0,2009,,,2159,45.010479,78.383253,,,
Tekeli CHP 2,Hard Coal,Steam Turbine,CHP,KZ,24,,,0,0,0,1959,,,2109,44.860649,78.743767,,,
ANPS CHP,CCGT,CCGT,CHP,KZ,30,,,0,0,0,1944,,,2094,47.073199,51.924988,,,
Atyrau CHP ,CCGT,CCGT,CHP,KZ,314,,,0,0,0,1962,,,2112,47.08153,51.941813,,,
ES Kashagan AGIP KCO,OCGT,OCGT,PP,KZ,314,,,0,0,0,2010,,,2160,47.247706,52.465977,,,
TGTES-1 LLP TCO (GTPS-144),OCGT,OCGT,PP,KZ,136,,,0,0,0,1999,,,2149,46.161404,53.412437,,,
TGTES-2 Tengizchevroil LLP GTPS-480,OCGT,OCGT,PP,KZ,111,,,0,0,0,1999,,,2149,46.152724,53.408833,,,
TGTES-3 Company TCO GTPS-242_1,OCGT,OCGT,PP,KZ,242,,,0,0,0,2007,,,2157,46.131672,53.370037,,,
Kazakhmys Corporation Balkhash CHP,Hard Coal,Steam Turbine,CHP,KZ,115,,,0,0,0,1937,,,2087,46.82778,74.94972,,,
Karaganda energy center CHP 1,Hard Coal,Steam Turbine,CHP,KZ,32,,,0,0,0,1960,,,2110,49.841806,73.080139,,,
